,state,population,murders_total,murder_rate
0,District of Columbia,646449,459,71.00328100128549
1,Louisiana,4625470,2179,47.10872624835962
2,Mississippi,2991207,1176,39.315232947769914
3,Alabama,4833722,1880,38.893424156374735
4,Alaska,735132,267,36.32000783532753
5,Missouri,6044171,2136,35.33983403183001
6,South Carolina,4774839,1610,33.71841438004507
7,Nevada,2790136,799,28.636596925741255
8,Maryland,5928814,1691,28.52172458100389
9,Tennessee,6495978,1824,28.078912828830394
10,Illinois,12882135,3409,26.463004773665237
11,Arkansas,2959373,773,26.120397800480035
12,Georgia,9992167,2456,24.579252928819145
13,Indiana,6570902,1608,24.47152613142001
14,Oklahoma,3850568,941,24.437953050043525
15,Kentucky,4395295,1066,24.25320712261634
16,New Mexico,2085287,495,23.737739697221535
17,Delaware,925749,217,23.440479006728605
18,North Carolina,9848060,2225,22.59328233174859
19,Ohio,11570808,2508,21.675236508980184
20,Florida,19552860,3909,19.991960255430662
21,Texas,26448193,5046,19.078808143906087
22,Pennsylvania,12773801,2395,18.749313536354606
23,Kansas,2893957,542,18.728681870532284
24,West Virginia,1854304,335,18.066077622655186
25,Virginia,8260405,1459,17.662572234654355
26,Arizona,6626624,1094,16.509160622362156
27,Michigan,9895622,1588,16.047500601781273
28,Montana,1015165,154,15.169947742485212
29,Colorado,5268367,796,15.109046123779912
30,Wisconsin,5742713,862,15.010327000496106
31,California,38332521,5562,14.509872700519749
32,New Jersey,8899339,1168,13.1245702630274
33,Wyoming,582658,73,12.528790474000186
34,Washington,6971406,853,12.235695353275938
35,Nebraska,1868516,225,12.041641602212666
36,Oregon,3930065,446,11.348412812510734
37,South Dakota,844877,90,10.65243816555546
38,Idaho,1612136,166,10.296898028454175
39,Utah,2900872,282,9.721214862289685
40,North Dakota,723393,69,9.538383700146394
41,Connecticut,3596080,341,9.482547663010834
42,Vermont,626630,57,9.096276909819192
43,Iowa,3090416,273,8.833762186061682
44,New York,19651127,1705,8.676347163193237
45,Minnesota,5420380,461,8.504938768130648
46,Maine,1328302,112,8.431817463197376
47,Massachusetts,6692824,472,7.052329480052068
48,New Hampshire,1323459,88,6.64924262859673
49,Rhode Island,1051511,63,5.991378121579327
50,Hawaii,1404054,63,4.487006909990641
